
活动连接

  协议  本地地址          外部地址        状态
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:808            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1048           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:8082           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:8680           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:14053          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:22330          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:27000          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:1001         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:1049         127.0.0.1:1050         ESTABLISHED
  TCP    127.0.0.1:1050         127.0.0.1:1049         ESTABLISHED
  TCP    127.0.0.1:1051         127.0.0.1:1052         ESTABLISHED
  TCP    127.0.0.1:1052         127.0.0.1:1051         ESTABLISHED
  TCP    127.0.0.1:1053         127.0.0.1:1054         ESTABLISHED
  TCP    127.0.0.1:1054         127.0.0.1:1053         ESTABLISHED
  TCP    127.0.0.1:1089         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:1089         127.0.0.1:1509         ESTABLISHED
  TCP    127.0.0.1:1509         127.0.0.1:1089         ESTABLISHED
  TCP    127.0.0.1:1531         127.0.0.1:8588         ESTABLISHED
  TCP    127.0.0.1:1674         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:3412         127.0.0.1:3413         ESTABLISHED
  TCP    127.0.0.1:3413         127.0.0.1:3412         ESTABLISHED
  TCP    127.0.0.1:3414         127.0.0.1:3415         ESTABLISHED
  TCP    127.0.0.1:3415         127.0.0.1:3414         ESTABLISHED
  TCP    127.0.0.1:3416         127.0.0.1:3417         ESTABLISHED
  TCP    127.0.0.1:3417         127.0.0.1:3416         ESTABLISHED
  TCP    127.0.0.1:3492         127.0.0.1:63342        ESTABLISHED
  TCP    127.0.0.1:3495         127.0.0.1:3496         ESTABLISHED
  TCP    127.0.0.1:3496         127.0.0.1:3495         ESTABLISHED
  TCP    127.0.0.1:3664         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:3664         127.0.0.1:3733         ESTABLISHED
  TCP    127.0.0.1:3665         127.0.0.1:3666         ESTABLISHED
  TCP    127.0.0.1:3666         127.0.0.1:3665         ESTABLISHED
  TCP    127.0.0.1:3667         127.0.0.1:3668         ESTABLISHED
  TCP    127.0.0.1:3668         127.0.0.1:3667         ESTABLISHED
  TCP    127.0.0.1:3669         127.0.0.1:3670         ESTABLISHED
  TCP    127.0.0.1:3670         127.0.0.1:3669         ESTABLISHED
  TCP    127.0.0.1:3671         127.0.0.1:3672         ESTABLISHED
  TCP    127.0.0.1:3672         127.0.0.1:3671         ESTABLISHED
  TCP    127.0.0.1:3673         127.0.0.1:3674         ESTABLISHED
  TCP    127.0.0.1:3674         127.0.0.1:3673         ESTABLISHED
  TCP    127.0.0.1:3675         127.0.0.1:3676         ESTABLISHED
  TCP    127.0.0.1:3676         127.0.0.1:3675         ESTABLISHED
  TCP    127.0.0.1:3677         127.0.0.1:3678         ESTABLISHED
  TCP    127.0.0.1:3678         127.0.0.1:3677         ESTABLISHED
  TCP    127.0.0.1:3679         127.0.0.1:3680         ESTABLISHED
  TCP    127.0.0.1:3680         127.0.0.1:3679         ESTABLISHED
  TCP    127.0.0.1:3681         127.0.0.1:3682         ESTABLISHED
  TCP    127.0.0.1:3682         127.0.0.1:3681         ESTABLISHED
  TCP    127.0.0.1:3683         127.0.0.1:3684         ESTABLISHED
  TCP    127.0.0.1:3684         127.0.0.1:3683         ESTABLISHED
  TCP    127.0.0.1:3685         127.0.0.1:3686         ESTABLISHED
  TCP    127.0.0.1:3686         127.0.0.1:3685         ESTABLISHED
  TCP    127.0.0.1:3687         127.0.0.1:3688         ESTABLISHED
  TCP    127.0.0.1:3688         127.0.0.1:3687         ESTABLISHED
  TCP    127.0.0.1:3689         127.0.0.1:3690         ESTABLISHED
  TCP    127.0.0.1:3690         127.0.0.1:3689         ESTABLISHED
  TCP    127.0.0.1:3691         127.0.0.1:3692         ESTABLISHED
  TCP    127.0.0.1:3692         127.0.0.1:3691         ESTABLISHED
  TCP    127.0.0.1:3693         127.0.0.1:3694         ESTABLISHED
  TCP    127.0.0.1:3694         127.0.0.1:3693         ESTABLISHED
  TCP    127.0.0.1:3695         127.0.0.1:3696         ESTABLISHED
  TCP    127.0.0.1:3696         127.0.0.1:3695         ESTABLISHED
  TCP    127.0.0.1:3697         127.0.0.1:3698         ESTABLISHED
  TCP    127.0.0.1:3698         127.0.0.1:3697         ESTABLISHED
  TCP    127.0.0.1:3699         127.0.0.1:3700         ESTABLISHED
  TCP    127.0.0.1:3700         127.0.0.1:3699         ESTABLISHED
  TCP    127.0.0.1:3701         127.0.0.1:3702         ESTABLISHED
